oui,manufacturer,registry,short_name,device_type,address,sources
AC:72:36,"Lexking Technology Co., Ltd.",MA-L,,,"2F, No. 3, Baoqiang Road, New Taipei City Taiwan TW 231111 ",IEEE+Nmap
CC:B3:F8,"FUJITSU ISOTEC LIMITED",MA-L,,,"135,Higashinozaki,Hobara-machi, Date-shi Fukushima JP 960-0695 ",IEEE+Nmap
3C:D7:DA,"SK Mtek microelectronics(shenzhen)limited",MA-L,,,"12F, Micro-profit Building,South 6 road Shenzhen Guangdong CN 518057 ",IEEE+Nmap
E8:6D:54,"Digit Mobile Inc",MA-L,,,"5F.,No.550,Ruiguang Rd., Neihu Dist.,Taipei City 11492, Taiwan Taipei Taiwan TW 11492 ",IEEE+Nmap
98:57:D3,"HON HAI-CCPBG PRECISION IND.CO.,LTD.",MA-L,,,"5F, No.9,Li-Hsin Road V,Science Park Hsinchu  TW 300 ",IEEE+Nmap
9C:8D:1A,"INTEG process group inc",MA-L,,,"2919 E Hardies Rd, First Floor Gibsonia PA US 15044 ",IEEE+Nmap
74:2D:0A,"Norfolk Elektronik AG",MA-L,,,"Luzernstrasse 12 Eschenbach LU CH 6274",IEEE+Nmap
48:03:62,"DESAY ELECTRONICS(HUIZHOU)CO.,LTD",MA-L,,,"BuildingA,No.3 Desay Industrial Zone Huizhou Guangdong CN 516029 ",IEEE+Nmap
B0:35:8D,"Nokia Corporation",MA-L,,,"Elektroniikkatie 10 Oulu  FI 90570",IEEE+Nmap
0C:F3:61,"Java Information",MA-L,,,"Woolim Lions Valley 2nd B-1305 Seongnam-Si Gyounggi-Do KR 462-120",IEEE+Nmap
34:BD:FA,"Cisco SPVTG",MA-L,,,"5030 Sugarloaf Parkway Lawrenceville GA US 30044",IEEE+Nmap
8C:EE:C6,"Precepscion Pty. Ltd.",MA-L,,,"Level 10 Melbourne Victoria AU 3000",IEEE+Nmap
EC:D9:50,"IRT SA",MA-L,,,"Puits-Godet 16 NEUCHATEL NE CH 2000",IEEE+Nmap
74:27:3C,"ChangYang Technology (Nanjing) Co., LTD",MA-L,,,"NO.9 KaiCheng Road,QiLinTown NanJing JiangSu CN 211100 ",IEEE+Nmap
08:7C:BE,"Quintic Corp.",MA-L,,,"1600 Wyatt Dr., #8 Santa Clara CA US 95054 ",IEEE+Nmap
C4:AD:21,"MEDIAEDGE Corporation",MA-L,,,"23F Kobe Commerce, Industry and Trade Center Bldg. Kobe Hyogo JP 651-0083 ",IEEE+Nmap
DC:BF:90,"HUIZHOU QIAOXING TELECOMMUNICATION INDUSTRY CO.,LTD.",MA-L,,,"Qiaoxing Science Technological&Industrial Zone Tangquan Huizhou Guangdong CN 516023",IEEE+Nmap
E0:F5:CA,"CHENG UEI PRECISION INDUSTRY CO.,LTD.",MA-L,,,"No. 18, ZhongShan Rd., TuCheng Dist., New Taipei City Taiwan TW 23680 ",IEEE+Nmap
1C:5C:60,"Shenzhen Belzon Technology Co.,LTD.",MA-L,,,"5F Block 1,Zhongxin Building,Chuangye Rd Shenzhen Guangdong CN 518054 ",IEEE+Nmap
2C:ED:EB,"Alpheus Digital Company Limited",MA-L,,,"Room 2, 23/F Tak King Industrial building Hong Kong  HK 852 ",IEEE+Nmap
38:1C:4A,"SIMCom Wireless Solutions Co.,Ltd.",MA-L,,,"Building A,SIM Technology Building,No.633,Jinzhong Road,  Shanghai CN 200335 ",IEEE+Nmap
90:1E:DD,"GREAT COMPUTER CORPORATION",MA-L,,,"4F., No.236, Fude 2nd Rd., Xizhi Dist.,  New Taipei City  TW 22151 ",IEEE+Nmap
2C:62:89,"Regenersis (Glenrothes) Ltd",MA-L,,,"1 James Watt Avenue Glenrothes Fife GB KY7 4UA",IEEE+Nmap
F0:93:C5,"Garland Technology",MA-L,,,"2130 Oak Bend Lane Garland TX US 75040",IEEE+Nmap
4C:09:B4,"zte corporation",MA-L,,,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 ",IEEE+Nmap
B8:B9:4E,"Shenzhen iBaby Labs, Inc.",MA-L,,,"Room 218, Building 17,Shangsha Innovation Science and Technology Park,Futian District Shenzhen Guangdong CN 518047 ",IEEE+Nmap
00:F4:03,"Orbis Systems Oy",MA-L,,,"Taivaltie 5 Vantaa  FI 01610",IEEE+Nmap
AC:C6:98,"Kohzu Precision Co., Ltd.",MA-L,,,"2-6-15, Kurigi, Asao-ku Kawasaki-shi Kanagawa JP 215-8521 ",IEEE+Nmap
90:70:25,"Garea Microsys Co.,Ltd.",MA-L,,,"4th Floor, Building 2, Software Park Suzhou Jiangsu CN 215163 ",IEEE+Nmap
50:2E:CE,"Asahi Electronics Co.,Ltd",MA-L,,,"29-25 Kariyado  Kanagawa-ken JP 211-0022",IEEE+Nmap
44:0C:FD,"NetMan Co., Ltd.",MA-L,,,"Rm 406, DIP, 2139, Daemyeong-dong, Daegu  KR 705-701 ",IEEE+Nmap
7C:EB:EA,"ASCT",MA-L,,,"4F., No.49, Wu-Gong 6th Rd. Wu-Gu Industrial Park, New Taipei City  TW 248 ",IEEE+Nmap
08:5B:0E,"Fortinet, Inc.",MA-L,,,"899 Kifer Road Sunnyvale California US 94086",IEEE+Nmap
64:C9:44,"LARK Technologies, Inc",MA-L,,,"2570 W El Camino Real Mountain View CA US 94040",IEEE+Nmap
68:69:F2,"ComAp s.r.o.",MA-L,,,"Kundratka 17 Prague  CZ 18000",IEEE+Nmap
B8:89:CA,"ILJIN ELECTRIC Co., Ltd.",MA-L,,,"112-83, Annyeong-dong Hwaseong Gyeonggi-do KR 445-380 ",IEEE+Nmap
B8:5A:FE,"Handaer Communication Technology (Beijing) Co., Ltd",MA-L,,,"Jiancaicheng West Rd.65,Xisanqi,  Beijing CN 100096 ",IEEE+Nmap
60:46:16,"XIAMEN VANN INTELLIGENT CO., LTD",MA-L,,,"UNIT 101£¬NO.28 GUANRI RD., SOFTWARE PARK ¢ò XIAMEN FUJIAN CN 361009 ",IEEE+Nmap
EC:D9:25,"RAMI",MA-L,,,"7 RUE RAOUL FOLLEREAU BUSSY ST GEORGES  FR 77600",IEEE+Nmap
04:9F:06,"Smobile Co., Ltd.",MA-L,,,"T-1009, Poongrim i-won Plus, 255-1 Seohyeon-dong, Bundang-gu Seongnam-si, Gyeonggi-do KR 463-862 ",IEEE+Nmap
D8:06:D1,"Honeywell Fire System (Shanghai) Co,. Ltd.",MA-L,,,"No. 430, Li Bing Road, Pudong Shanghai Shanghai CN 201203 ",IEEE+Nmap
8C:6A:E4,"Viogem Limited",MA-L,,,"Paddock House Orlingbury Northamptonshire GB NN141JH",IEEE+Nmap
20:C1:AF,"i Wit Digital Co., Limited",MA-L,,,"303,Buiding1,Nanhai Ecool Innovation Park, Shenzhen GuangDong US 518000 ",IEEE+Nmap
D8:8A:3B,"UNIT-EM",MA-L,,,"167 Merchants Street Valletta  MT VLT 1174",IEEE+Nmap
BC:D9:40,"ASR Co,.Ltd.",MA-L,,,"1-3-1 Sotokanda Chiyoda-ku Tokyo  JP 101-0021",IEEE+Nmap
EC:49:93,"Qihan Technology Co., Ltd",MA-L,,,"20th Floor,Times Technology BuildingNo.7028,Shennan Road,Futian, Shenzhen Guangdong CN 518040 ",IEEE+Nmap
